dev_id,avg_weekly_commits,commit_irregularity,late_night_commit_cent,week,messages_per_day,avg_response_hours,silent_days,issues_reopen_rate,avg_pr_merge_days,burnout_score,burnout_risk
D01,12.5,4.502136245076416,0.0,2025-11-17/2025-11-23,5.469387755102041,5.672882653061224,1.0714285714285714,0.6153846153846154,1.6923076923076923,3,1
D02,14.0,4.402796314232057,0.0,2025-11-17/2025-11-23,8.941326530612246,2.460816326530612,0.0,0.3076923076923077,2.0,0,0
D03,19.5,7.68364897288141,18.68131868131868,2025-11-17/2025-11-23,5.321428571428571,5.363724489795919,1.0,0.5384615384615384,1.4615384615384617,4,1
D04,12.642857142857142,3.992437906788337,0.0,2025-11-17/2025-11-23,9.13265306122449,2.5487755102040817,0.0,0.6153846153846154,1.7692307692307692,0,0
D05,13.142857142857142,3.347953286530624,0.0,2025-11-17/2025-11-23,5.813775510204081,5.347066326530611,0.8571428571428571,1.5384615384615383,4.076923076923077,2,1
D06,13.428571428571429,3.7563133668385698,0.0,2025-11-17/2025-11-23,5.464285714285714,5.275433673469387,0.6428571428571429,0.5384615384615384,2.0,2,1
D07,12.642857142857142,4.307545130923767,0.0,2025-11-17/2025-11-23,5.798469387755103,5.334795918367347,0.6428571428571429,1.3076923076923077,3.3846153846153846,2,1
D08,13.857142857142858,4.990100089286677,0.0,2025-11-17/2025-11-23,9.362244897959185,2.5643367346938777,0.0,0.3846153846153846,1.9230769230769231,0,0
D09,19.785714285714285,9.544862262201358,19.13357400722021,2025-11-17/2025-11-23,5.380102040816326,5.43829081632653,1.3571428571428572,0.6153846153846154,2.3076923076923075,5,1
D10,12.071428571428571,4.141056827471901,0.0,2025-11-17/2025-11-23,9.142857142857142,2.4395918367346936,0.0,0.3076923076923077,2.076923076923077,0,0
D100,12.571428571428571,3.837352567236261,0.0,2025-11-17/2025-11-23,8.573979591836734,2.488137755102041,0.0,1.6153846153846154,4.153846153846154,0,0
D1000,13.071428571428571,3.931417550457336,0.0,2025-11-17/2025-11-23,8.709183673469388,2.530382653061225,0.0,1.7692307692307692,4.076923076923077,0,0
D1001,20.642857142857142,8.158121417026415,8.650519031141869,2025-11-17/2025-11-23,5.642857142857143,5.143852040816327,0.6428571428571429,1.6153846153846154,4.307692307692308,3,1
D1002,14.071428571428571,4.581976156038516,0.0,2025-11-17/2025-11-23,9.135204081632653,2.6548214285714287,0.0,0.4615384615384615,2.0,0,0
D1003,19.5,9.411531388510747,7.6923076923076925,2025-11-17/2025-11-23,5.283163265306123,5.222270408163266,0.6428571428571429,0.7692307692307693,2.1538461538461537,3,1
D1004,19.571428571428573,8.785602608063558,9.48905109489051,2025-11-17/2025-11-23,5.99234693877551,5.163877551020407,0.8571428571428571,0.3846153846153846,1.6923076923076923,4,1
